station_id,station_name,location,latitude,longitude,temperature,humidity,weather,observed_time,pressure,wind_speed,uv_index
C2E980,和興,和興,24.507081,120.914833,18.1,93.0,陰,,-99,1.0,-99
C2M810,里佳,里佳,23.390899,120.708543,17.5,90.0,陰,,-99,1.3,-99
C2FA00,烏石坑,烏石坑,24.275269,120.939447,17.4,94.0,陰,,-99,0.3,-99
C2F990,摩天嶺,摩天嶺,24.324225,120.928649,17.3,94.0,陰,,-99,0.8,-99
C2M970,碧湖,碧湖,23.570397,120.616047,17.2,95.0,陰,,-99,1.4,-99
C2I090,鳳凰,鳳凰,23.729722,120.779167,17.2,96.0,陰,,-99,0.8,-99
C2M990,大巃頂,大巃頂,23.556466,120.606275,17.0,95.0,陰,,-99,1.1,-99
467110,金門,金門,24.408942,118.281127,16.9,98.0,陰有靄,,1010.7,0.8,1
466910,鞍部,鞍部,25.184365,121.521495,16.8,98.0,陰,,-99,0.3,1
C2M960,外寮,外寮,23.564411,120.657572,16.8,94.0,陰,,-99,0.7,-99
C2H9S0,龍南,龍南,23.955305,120.825039,16.6,89.0,陰,,-99,4.5,-99
C2M530,奮起湖,奮起湖,23.495674,120.691142,16.5,94.0,陰,,-99,0.5,-99
C2K240,草嶺,草嶺,23.597319,120.685342,16.5,98.0,陰,,-99,3.4,-99
C2FB50,出雲,出雲,24.208236,120.894632,16.4,94.0,陰,,-99,0.4,-99
C2H9R0,卓社,卓社,23.889672,120.991946,16.3,93.0,陰,,-99,0.6,-99
C2W030,金門(東),金門(東),24.450074,118.443627,16.3,98.0,陰,,-99,0.5,-99
C2M930,石卓,石卓,23.480516,120.694154,16.3,93.0,陰,,-99,1.3,-99
C2M620,瑞里,瑞里,23.546903,120.667039,16.2,97.0,陰,,-99,1.5,-99
72D080,五峰站,五峰站,24.613978,121.148983,16.0,99.0,陰,,-99,0.0,-99
A0F010,武陵,武陵,24.354609,121.300112,15.9,69.0,陰,,-99,1.0,-99
C2H9N0,仁愛東眼,仁愛東眼,24.028656,121.112349,15.7,91.0,陰,,-99,4.9,-99
C2M950,太和,太和,23.540143,120.694847,15.7,98.0,陰,,-99,1.5,-99
U2H480,臺大溪頭,臺大溪頭,23.672071,120.790065,15.5,98.0,陰,,-99,0.0,-99
C2H9E0,國姓南港,國姓南港,23.912878,120.838415,15.4,99.0,陰,,-99,2.0,-99
467990,馬祖,馬祖,26.171145,119.914855,15.4,98.0,陰有靄,,1003.7,1.2,1
C2FB60,頭櫃山,頭櫃山,24.131608,120.850769,15.3,99.0,陰,,-99,2.1,-99
CAW010,東引,東引,26.360539,120.475308,14.5,94.0,陰有靄,,-99,2.5,-99
C2H9L0,馬烈霸,馬烈霸,24.152982,121.193613,13.8,71.0,陰,,-99,0.4,-99
C2H9Q0,北東眼山,北東眼山,24.122721,121.181145,13.3,80.0,陰,,-99,0.3,-99
E2HA20,畢祿溪站,畢祿溪站,24.22873,121.300362,13.1,68.0,陰,,-99,0.3,-99
CAC040,拉拉山,拉拉山,24.7011,121.418933,13.0,93.0,陰,,-99,0.4,-99
C2H9K0,屯原,屯原,24.069754,121.201235,13.0,85.0,陰,,-99,0.6,-99
467530,阿里山,阿里山,23.509984,120.805129,11.3,89.0,陰,,-99,0.6,1
C2F860,梨山,梨山,24.245,121.237667,11.3,82.0,陰,,-99,2.2,-99
A0Z080,合歡山,合歡山,24.144972,121.276071,5.0,82.0,陰,,-99,3.7,-99
467550,玉山,玉山,23.488964,120.951318,4.7,73.0,多雲,,-99,1.5,1
CAC050,西濱S023K,西濱S023K,25.118258,121.26728,-99.0,-99.0,陰,,-99,-99,-99
CAC060,西濱S032K,西濱S032K,25.09373,121.184277,-99.0,-99.0,陰,,-99,-99,-99
CAJ040,西濱S241K,西濱S241K,23.625171,120.164529,-99.0,-99.0,陰,,-99,-99,-99
A2K360,臺西水試,臺西水試,23.718974,120.182399,-99.0,-99.0,陰,,-99,1.9,-99
E2P990,扇平林試,扇平林試,22.969481,120.677627,-99.0,-99.0,多雲,,-99,-99,-99
CAQ030,崎峰國小,崎峰國小,22.427434,120.487171,-99.0,-99.0,陰,,-99,4.5,-99
C2H9X0,福盛,福盛,23.8953,120.83263,-99.0,-99.0,陰,,-99,-99,-99
V2K620,麥寮合作社,麥寮合作社,23.755583,120.286657,-99.0,-99.0,陰,,-99,-99,-99
CAP030,國一N351K,國一N351K,22.767602,120.320828,-99.0,-99.0,陰,,-99,-99,-99
CAJ050,海口故事園區,海口故事園區,23.577174,120.133097,-99.0,-99.0,陰,,-99,-99,-99
V2C250,八德合作社,八德合作社,24.939471,121.258178,-99.0,-99.0,陰,,-99,-99,-99
U2HA50,臺大竹山,臺大竹山,23.758731,120.67342,-99.0,-99.0,陰,,-99,-99,-99
469020,南沙島,南沙島,10.372116,114.356938,-99.0,-99.0,-99,,-99,-99,-99
468100,東沙島,東沙島,20.70252,116.722116,-99.0,-99.0,-99,,-99,-99,-99
A0W080,吉貝,吉貝,23.741712,119.596041,-99.0,-99.0,陰,,-99,-99,-99
